Instance,Algorithm,Status,Gap,Time
instance_n1000_c1000_10_5_10_5_0,astar,OPTIMAL,0.0,1.028
instance_n1000_c1000_10_5_10_5_0,ddo,OPTIMAL,0.0,35.483
instance_n1000_c1000_10_5_10_5_1,astar,OPTIMAL,0.0,0.942
instance_n1000_c1000_10_5_10_5_1,ddo,OPTIMAL,0.0,35.986
instance_n1000_c1000_10_5_10_5_2,astar,OPTIMAL,0.0,0.996
instance_n1000_c1000_10_5_10_5_2,ddo,OPTIMAL,0.0,33.687
instance_n1000_c1000_10_5_10_5_3,astar,OPTIMAL,0.0,5.367
instance_n1000_c1000_10_5_10_5_3,ddo,OPTIMAL,0.0,37.811
instance_n1000_c1000_10_5_10_5_4,astar,OPTIMAL,0.0,0.479
instance_n1000_c1000_10_5_10_5_4,ddo,OPTIMAL,0.0,33.511
instance_n1000_c1000_10_5_10_5_5,astar,OPTIMAL,0.0,3.808
instance_n1000_c1000_10_5_10_5_5,ddo,OPTIMAL,0.0,36.757
instance_n1000_c1000_10_5_10_5_6,astar,OPTIMAL,0.0,1.479
instance_n1000_c1000_10_5_10_5_6,ddo,OPTIMAL,0.0,38.383
instance_n1000_c1000_10_5_10_5_7,astar,OPTIMAL,0.0,3.808
instance_n1000_c1000_10_5_10_5_7,ddo,OPTIMAL,0.0,35.961
instance_n1000_c1000_10_5_10_5_8,astar,OPTIMAL,0.0,1.585
instance_n1000_c1000_10_5_10_5_8,ddo,OPTIMAL,0.0,32.724
instance_n1000_c1000_10_5_10_5_9,astar,OPTIMAL,0.0,7.767
instance_n1000_c1000_10_5_10_5_9,ddo,OPTIMAL,0.0,43.329
instance_n100_c500_10_5_10_5_0,astar,OPTIMAL,0.0,0.029
instance_n100_c500_10_5_10_5_0,ddo,OPTIMAL,0.0,0.282
instance_n100_c500_10_5_10_5_1,astar,OPTIMAL,0.0,0.024
instance_n100_c500_10_5_10_5_1,ddo,OPTIMAL,0.0,0.221
instance_n100_c500_10_5_10_5_2,astar,OPTIMAL,0.0,0.033
instance_n100_c500_10_5_10_5_2,ddo,OPTIMAL,0.0,0.263
instance_n100_c500_10_5_10_5_3,astar,OPTIMAL,0.0,0.028
instance_n100_c500_10_5_10_5_3,ddo,OPTIMAL,0.0,0.235
instance_n100_c500_10_5_10_5_4,astar,OPTIMAL,0.0,0.044
instance_n100_c500_10_5_10_5_4,ddo,OPTIMAL,0.0,0.263
instance_n100_c500_10_5_10_5_5,astar,OPTIMAL,0.0,0.038
instance_n100_c500_10_5_10_5_5,ddo,OPTIMAL,0.0,0.222
instance_n100_c500_10_5_10_5_6,astar,OPTIMAL,0.0,0.027
instance_n100_c500_10_5_10_5_6,ddo,OPTIMAL,0.0,0.247
instance_n100_c500_10_5_10_5_7,astar,OPTIMAL,0.0,0.055
instance_n100_c500_10_5_10_5_7,ddo,OPTIMAL,0.0,0.281
instance_n100_c500_10_5_10_5_8,astar,OPTIMAL,0.0,0.041
instance_n100_c500_10_5_10_5_8,ddo,OPTIMAL,0.0,0.288
instance_n100_c500_10_5_10_5_9,astar,OPTIMAL,0.0,0.07
instance_n100_c500_10_5_10_5_9,ddo,OPTIMAL,0.0,0.283
instance_n1000_c1000_10_5_10_5_0,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_1,milp,Optimal,0.0,0.001
instance_n1000_c1000_10_5_10_5_2,milp,Optimal,0.0,0.005
instance_n1000_c1000_10_5_10_5_3,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_4,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_5,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_6,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_7,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_8,milp,Optimal,0.0,0.002
instance_n1000_c1000_10_5_10_5_9,milp,Optimal,0.0,0.002
instance_n100_c500_10_5_10_5_0,milp,Optimal,0.0,0.02
instance_n100_c500_10_5_10_5_1,milp,Optimal,0.0,0.003
instance_n100_c500_10_5_10_5_2,milp,Optimal,0.0,0.002
instance_n100_c500_10_5_10_5_3,milp,Optimal,0.0,0.002
instance_n100_c500_10_5_10_5_4,milp,Optimal,0.0,0.003
